a/D,P/fcAg,?lfy/fc,?sfyh/ft,Failure
3.764,0.149,0.192,0.068,1
3.764,0.149,0.192,0.068,1
3.764,0.091,0.192,0.034,1
3.764,0.149,0.192,0.034,1
3.764,0.149,0.192,0.034,1
2.578,0,0.152,0.471,1
3.243,0.387,0.125,1.039,1
4.5,0.07,0.389,1.514,1
4.5,0.07,0.389,1.136,1
4.5,0.07,0.307,1.136,1
4.5,0,0.389,1.136,1
4.5,0.15,0.389,1.136,1
4.5,0.07,0.609,2.272,1
4.5,0.07,0.609,1.731,1
4.5,0.07,0.609,3.029,1
4.143,0.643,0.369,1.388,1
4.143,0.322,0.369,1.388,1
4,0.054,0.154,1.122,1
4,0.062,0.175,1.461,1
4,0.057,0.16,0.499,1
4,0.052,0.147,0.695,1
4,0.056,0.159,1.324,1
5.333,0.089,0.187,1.397,1
5.333,0.045,0.183,1.383,1
7.333,0.045,0.185,1.391,1
7.333,0.089,0.181,1.376,1
8.667,0.045,0.179,1.368,1
8.667,0.089,0.183,1.382,1
4,0.046,0.236,1.808,1
4,0.092,0.252,1.048,1
4,0.092,0.175,1.026,1
5.333,0.134,0.191,1.371,1
5.333,0.178,0.202,1.409,1
5.333,0.134,0.36,1.393,1
2,0.542,0.276,1.017,2
2,0,0.372,0.423,2
2,0,0.255,0.425,2
2.5,0,0.388,0.432,2
2,0,0.449,0.697,2
2,0.2,0.5,1.096,2
2,0.2,0.459,0.946,2
2,0.2,0.479,0.537,2
1.5,0.1,0.488,0.968,2
2,0.1,0.385,0.856,2
2,0,0.408,0.443,2
2,0,0.241,0.436,2
2.5,0.1,0.407,0.439,2
2,0,0.432,0.647,2
2,0,0.422,0.648,2
2,0.39,0.411,0.407,2
2.932,0.055,0.123,0.357,2
2.915,0.1,0.128,0.364,2
1.091,0.114,0.307,0.91,2
1.636,0,0.435,0.625,2
1.636,0.081,0.33,0.545,2
1.5,0.057,0.08,0.295,2
1.5,0.057,0.16,0.177,2
2.578,0,0.181,0.176,2
2.578,0,0.181,0.176,2
2,0.351,0.38,0.331,2
2,0.278,0.301,0.294,2
